// ---------------------------------------------------------------
// Example truth table for:
//      1          | if A and B are 1
//      0          | if A and B are 0
//      don't care | otherwise
// ---------------------------------------------------------------
// A B | Q
// =======
// 1 1 | 1
// 1 0 | -
// 0 1 | -
// 0 0 | 0
// ---------------------------------------------------------------
// Put your truth table in the free space
// ---------------------------------------------------------------
A B C D | X Y Z
================
1 1 1 1 | 0 0 0
1 1 1 0 | 1 0 0
1 1 0 0 | 0 1 0
1 0 0 0 | 1 1 0
0 0 0 0 | 1 1 1
0 0 0 1 | - - -
0 0 1 0 | - - -
0 0 1 1 | - - -
0 1 0 0 | - - -
0 1 0 1 | - - -
0 1 1 0 | - - -
0 1 1 1 | - - -
1 0 0 1 | - - -
1 0 1 0 | - - -
1 0 1 1 | - - -
1 1 0 1 | - - -
// ---------------------------------------------------------------
